Date,1,2,3,4,5,Megaball
3/7/2020,1,9,14,35,40,2
3/4/2020,12,22,24,25,27,3
2/29/2020,6,21,24,32,35,6
2/26/2020,19,27,38,39,41,1
2/22/2020,10,16,21,22,34,2
2/19/2020,8,17,23,35,39,4
2/15/2020,14,15,17,19,35,5
2/12/2020,8,10,13,18,25,2
2/8/2020,8,9,17,31,38,5
2/5/2020,8,12,32,34,39,2
2/1/2020,2,3,12,36,40,4
1/29/2020,12,13,18,21,33,1
1/25/2020,18,19,22,36,37,3
1/22/2020,24,26,32,40,41,6
1/18/2020,3,19,25,29,41,1
1/15/2020,1,17,23,29,31,5
1/11/2020,5,17,22,26,33,6
1/8/2020,2,14,28,30,32,6
1/4/2020,4,15,19,29,37,1
1/1/2020,4,7,9,24,27,2
12/28/2019,6,17,33,34,35,4
12/25/2019,9,14,21,36,41,2
12/21/2019,7,8,15,23,25,4
12/18/2019,2,4,8,17,30,1
12/14/2019,9,15,17,26,27,3
12/11/2019,10,14,22,29,38,4
12/7/2019,2,20,22,30,33,4
12/4/2019,1,6,18,23,38,1
11/30/2019,7,12,23,37,38,2
11/27/2019,1,13,26,35,39,2
11/23/2019,1,9,12,14,34,1
11/20/2019,2,4,15,28,29,6
11/16/2019,1,17,30,32,37,4
11/13/2019,25,33,35,38,39,5
11/9/2019,4,12,18,28,38,4
11/6/2019,9,24,29,38,39,4
11/2/2019,2,20,29,39,40,6
10/30/2019,3,8,10,21,28,6
10/26/2019,5,13,23,37,38,6
10/23/2019,3,12,23,24,29,6
10/19/2019,17,22,31,37,41,6
10/16/2019,3,21,26,33,35,3
10/12/2019,23,28,37,38,40,2
10/9/2019,6,20,24,25,41,1
